Letter,nonSel,Joints,Base,nonBase,Thumb,Quant,POR,SecFing,SecThumb,SecQuant,SecPOR
a,1,1,1,1,3,4,1,0,0,0,0
b,0,0,0,0,0,4,1,0,0,0,0
c,2,0,1,1,1,4,1,0,0,0,0
d,1,1,1,1,1,3,2,0,0,0,0
d',0,1,1,1,1,1,3,2,0,1,1
d'',0,1,1,1,1,3,2,2,0,1,1
e,2,1,0,1,1,4,1,0,0,0,0
f,0,1,1,1,1,1,1,0,0,0,0
f',1,1,1,1,1,1,1,3,0,3,2
g,1,0,0,0,2,1,1,0,0,0,0
g',1,0,0,0,4,1,1,0,0,0,0
h,1,0,0,0,0,2,1,0,0,0,0
i,1,0,0,0,0,1,2,0,0,0,0
j,1,0,0,0,0,1,2,0,0,0,0
k,1,3,0,0,0,2,1,2,2,0,0
l,1,0,0,0,4,1,1,0,0,0,0
m,1,1,1,1,0,3,1,0,0,0,0
m',1,1,1,0,0,3,1,0,0,0,0
n,1,1,1,1,0,2,1,0,0,0,0
n',0,1,1,0,0,2,1,0,0,0,0
o,1,1,1,1,1,4,1,0,0,0,0
p,1,3,0,0,0,2,1,2,2,0,0
q,1,0,0,0,2,1,1,0,0,0,0
r,0,4,0,0,0,2,1,0,0,0,0
s,1,1,1,1,1,4,1,0,0,0,0
t,1,1,1,1,0,1,1,0,0,0,0
t',1,1,1,0,0,1,1,0,0,0,0
u,1,0,0,0,0,2,1,0,0,0,0
v,1,2,0,0,0,2,1,0,0,0,0
w,1,2,0,0,0,3,1,0,0,0,0
x,1,1,0,1,0,1,1,0,0,0,0
y,1,0,0,0,4,1,2,0,0,0,0
z,0,0,0,0,0,1,1,0,0,0,0
