,Update,Reconstruction Error,Perplexity
0,0,79792.9609375,1.0
1,1,71908.296875,1.0
2,2,66086.359375,1.0
3,3,69815.828125,1.0
4,4,63358.015625,1.0
5,5,60024.66796875,1.0
6,6,60800.6015625,1.0
7,7,60587.83984375,1.0
8,8,62976.38671875,1.0
9,9,62110.0859375,1.0
10,10,61999.49609375,1.0
11,11,57802.03125,1.0
12,12,61720.15625,1.0
13,13,57215.31640625,1.0
14,14,63306.37890625,1.0
15,15,61767.921875,1.0
16,16,62983.05859375,1.0
17,17,63316.94921875,1.0
18,18,64070.86328125,1.0
19,19,65807.9453125,1.0
20,20,70628.0859375,1.0
21,21,71791.375,1.0
22,22,88638.21875,1.0
23,23,79634.8828125,1.0
24,24,114608.8515625,1.0
25,25,112659.0234375,1.0
26,26,84425.65625,1.0
27,27,69974.1171875,1.0
28,28,69692.6796875,1.0
29,29,65243.85546875,1.0
30,30,70254.1171875,1.0
31,31,74635.515625,1.0
32,32,67325.03125,1.0
33,33,65630.59375,1.0
34,34,68257.5,1.0
35,35,72080.640625,1.0
36,36,72718.5078125,1.0
37,37,76888.765625,1.0
38,38,62449.39453125,1.0
39,39,67515.609375,1.0
40,40,67486.96875,1.0
41,41,68562.6171875,1.0
42,42,82572.09375,1.0
43,43,67688.46875,1.0
44,44,61657.375,1.0
45,45,71555.234375,1.0
46,46,67458.7890625,1.0
47,47,73018.5234375,1.0
48,48,63344.42578125,1.0
49,49,67384.2578125,1.0
50,50,65331.546875,1.0
51,51,73757.0390625,1.0
52,52,66088.984375,1.0
53,53,66755.6171875,1.0
54,54,62487.1015625,1.0
55,55,64377.40234375,1.0
56,56,60211.36328125,1.0
57,57,63992.63671875,1.0
58,58,58664.59765625,1.0
59,59,67521.609375,1.0
60,60,65220.7109375,1.0
61,61,59991.390625,1.0
62,62,61544.0390625,1.0
63,63,54496.32421875,1.0
64,64,60108.8125,1.0
65,65,57923.453125,1.0
66,66,57540.28515625,1.0
67,67,61645.7421875,1.0
68,68,58332.23828125,1.0
69,69,55472.90625,1.0
70,70,56433.84765625,1.0
71,71,56917.61328125,1.0
72,72,54264.16796875,1.0
73,73,61223.43359375,1.0
74,74,60254.54296875,1.0
75,75,58444.921875,1.0
76,76,59511.95703125,1.0
77,77,55403.46875,1.0
78,78,61832.7109375,1.0
79,79,58578.16796875,1.0
80,80,60977.6640625,1.0
81,81,64020.5078125,1.0
82,82,59807.2421875,1.0
83,83,52106.97265625,1.0
84,84,61345.33984375,1.0
85,85,129422328.0,1.131554365158081
86,86,959456320.0,1.3650791645050049
87,87,72360032.0,1.4000850915908813
88,88,7897366.0,1.291000247001648
89,89,959059.75,1.231299877166748
90,90,97375.1796875,1.0
91,91,73408.625,1.0
92,92,71348.1875,1.0
93,93,76148.171875,1.0
94,94,76131.4296875,1.0
95,95,73523.3984375,1.0
96,96,68780.65625,1.0
97,97,71978.8515625,1.0
98,98,81223.2578125,1.0
99,99,79348.8046875,1.0
